,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
1,128060,中装转债,0.80%,102.97,0.0,2.31,0,1.71,AA,5.74,5.250,未到转股期,94.72
3,113025,明泰转债,0.15%,100.09,1.84,7.72,0,2.56,AA,5.778,18.390,未到转股期,92.19
4,128062,亚药转债,1.09%,103.01,0.76,5.15,0,2.75,AA,5.759,9.650,未到转股期,91.83999999999999
7,123023,迪森转债,1.48%,101.37,3.52,7.82,0,2.32,AA,5.723,6.000,未到转股期,90.81
8,128056,今飞转债,0.56%,100.45,1.46,8.79,0,3.51,A+,5.668,3.680,未到转股期,90.75999999999999
9,113505,杭电转债,3.04%,108.07,7.21,1.22,0,0.94,AA,4.682,7.503,191505,90.71000000000001
11,128033,迪龙转债,2.24%,103.88,1.15,5.65,1,1.37,AA,4.493,5.199,128033,90.47
12,113514,威帝转债,1.11%,102.61,2.2,7.02,0,2.1,A+,4.055,1.998,191514,90.37
14,127003,海印转债,0.83%,103.861,1.02,5.96,2,3.05,AA,2.94,9.416,127003,90.179
16,113527,维格转债,0.98%,99.87,2.49,11.06,0,3.53,AA,5.57,7.460,未到转股期,89.07
24,128066,亚泰转债,0.89%,98.951,2.44,14.69,0,3.15,AA-,5.8,4.800,未到转股期,86.35900000000001
27,123011,德尔转债,1.05%,99.39,4.16,14.52,0,3.47,AA-,5.052,5.556,123011,86.09
29,113535,大业转债,1.13%,100.73,1.92,13.37,0,2.52,AA,4.858,5.000,未到转股期,85.89999999999999
40,113528,长城转债,0.51%,100.05,3.2,16.48,0,3.04,AA-,5.671,6.340,未到转股期,83.47
46,128050,钧达转债,0.90%,100.5,1.35,16.53,0,4.04,AA-,5.449,3.200,128050,82.97
47,128044,岭南转债,0.77%,100.48,1.19,16.64,1,2.2,AA,5.126,6.594,128044,82.88
48,128015,久其转债,1.07%,93.737,3.46,23.94,1,4.66,A+,3.94,7.798,128015,82.32300000000001
104,128018,时达转债,0.39%,95.81,2.07,31.69,1,3.47,AA,4.353,8.823,128018,72.5
TOTAL,,,,100.8793888888889,2.302222222222222,11.697777777777778,,2.7994444444444446,,,,,
