,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,113027,华钰转债,1.87%,101.87,-1.86,-1.61,0,2.13,AA,5.932,2.76,6.400,未到转股期,99.33749999999999
2,113536,三星转债,0.39%,103.0,4.97,0.31,0,1.95,AA,5.893,3.25,1.920,未到转股期,96.7675
4,128050,钧达转债,-1.19%,101.0,-2.72,7.63,0,3.96,AA-,5.425,2.79,3.200,128050,93.2775
14,113514,威帝转债,-0.36%,100.41,-0.68,11.44,0,2.68,A+,4.03,2.85,1.998,191514,91.01
18,128062,亚药转债,-0.38%,100.068,-4.31,14.43,0,3.29,AA,5.734,2.97,9.650,未到转股期,89.1095
19,128056,今飞转债,-0.58%,100.02,-2.95,14.55,0,3.61,A+,5.644,2.1,3.680,未到转股期,89.0675
21,113535,大业转债,0.05%,100.36,-0.63,14.91,0,2.61,AA,4.833,2.09,5.000,未到转股期,88.4575
29,123023,迪森转债,-0.08%,100.195,-1.28,16.76,0,2.54,AA,5.699,1.42,6.000,未到转股期,87.23500000000001
31,128033,迪龙转债,-0.68%,101.501,-2.36,15.17,1,1.92,AA,4.468,2.26,5.199,128033,87.1215
36,128066,亚泰转债,0.37%,99.2,-0.14,19.08,0,3.12,AA-,5.775,1.85,4.800,未到转股期,86.49
41,113528,长城转债,0.20%,99.8,-0.74,19.91,0,3.1,AA-,5.647,1.95,6.340,未到转股期,85.2675
43,128044,岭南转债,-0.20%,99.6,-0.81,20.33,1,2.39,AA,5.101,1.66,6.593,128044,85.1525
51,127003,海印转债,-0.01%,102.301,-1.87,17.86,2,3.62,AA,2.915,1.71,9.415,127003,84.304
54,128065,雅化转债,-0.12%,94.87,-1.64,28.79,0,2.86,AA,5.773,2.43,8.000,未到转股期,83.5375
73,123011,德尔转债,0.22%,98.94,-1.68,27.29,0,3.58,AA-,5.027,1.46,5.556,123011,80.5925
79,128015,久其转债,-0.15%,93.301,-0.91,35.24,1,4.81,A+,3.915,4.35,7.798,128015,80.269
97,128018,时达转债,-0.28%,95.132,2.36,36.03,1,3.66,AA,4.329,1.22,8.823,128018,77.84549999999999
TOTAL,,,,99.50400000000002,-1.0147058823529411,17.536470588235293,,3.0488235294117647,,,,,,
