,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
37,128064,司尔转债,0.00%,99.0,0.58,16.86,0,2.73,AA,5.764,8.000,未到转股期,84.14
3,128066,亚泰转债,-2.80%,100.12,0.79,5.36,0,2.94,AA-,5.789,4.800,未到转股期,94.52
10,113025,明泰转债,-0.13%,100.18,-0.58,9.91,0,2.55,AA,5.767,18.390,未到转股期,89.91
33,113528,长城转债,0.28%,100.59,2.43,14.83,0,2.94,AA-,5.66,6.340,未到转股期,84.58
20,128062,亚药转债,1.32%,101.0,7.16,11.88,0,3.11,AA,5.748,9.650,未到转股期,87.12
24,113535,大业转债,-0.30%,101.08,-0.7,12.25,0,2.45,AA,4.847,5.000,未到转股期,86.67
21,113527,维格转债,-0.12%,101.14,-2.26,11.76,0,3.3,AA,5.559,7.460,未到转股期,87.1
2,113537,文灿转债,1.66%,101.66,-0.35,1.46,0,3.19,AA-,5.934,8.000,未到转股期,96.88000000000001
13,123023,迪森转债,-1.42%,101.72,-3.03,9.0,0,2.26,AA,5.712,6.000,未到转股期,89.28
16,113514,威帝转债,0.00%,102.64,-0.43,8.22,0,2.1,A+,4.044,1.998,191514,89.14
0,128056,今飞转债,-5.28%,103.249,-6.58,-1.4,0,3.01,A+,5.658,3.680,未到转股期,98.15100000000001
23,113521,科森转债,0.04%,103.65,0.49,9.57,0,2.12,AA,5.373,6.098,191521,86.78
5,113536,三星转债,0.03%,103.88,1.63,2.58,0,1.8,AA,5.907,1.920,未到转股期,93.54
14,128049,华源转债,0.19%,104.35,1.38,6.47,0,1.97,AA-,5.403,3.999,128049,89.18
18,128033,迪龙转债,-0.85%,104.4,-2.25,7.16,1,1.26,AA,4.482,5.199,128033,88.44
6,128060,中装转债,0.10%,105.0,-0.16,1.74,0,1.36,AA,5.729,5.250,未到转股期,93.26
34,128063,未来转债,0.09%,105.11,0.85,10.33,0,3.68,AA-,5.751,6.300,未到转股期,84.56
30,128048,张行转债,-0.47%,105.402,-0.35,9.29,0,1.55,AA+,5.362,24.998,128048,85.30799999999999
TOTAL,,,,102.45394444444445,,8.181666666666665,,,,,,,
