,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
84,128081,海亮转债,0.05%,104.7,0.38,28.55,0,1.94,AA,5.085,1.6,31.5,128081,66.75
47,113528,长城转债,0.84%,106.15,0.25,23.85,0,2.44,AA-,4.359,1.84,6.339,191528,70.0
57,128026,众兴转债,1.65%,106.505,3.92,24.31,0,1.15,AA-,3.142,1.4,9.194,128026,69.185
80,113532,海环转债,0.34%,106.7,0.15,26.42,0,1.31,AA,4.444,1.67,4.6,191532,66.88
30,128100,搜特转债,0.40%,106.83,-0.39,21.49,1,1.79,AA,5.386,1.4,7.999,128100,71.68
0,128128,齐翔转2,0.07%,106.991,0.5,10.07,0,1.32,AA,5.827,1.83,29.9,未到转股期,82.939
9,113039,嘉泽转债,0.95%,107.11,0.31,16.93,0,0.95,AA,5.841,2.02,13.0,未到转股期,75.96000000000001
14,113601,塞力转债,0.60%,108.05,-0.25,16.48,0,2.05,AA-,5.830,2.16,5.43,未到转股期,75.47
39,128025,特一转债,1.27%,109.48,0.37,19.74,1,0.10,AA-,3.123,2.57,2.991,128025,70.78
73,110074,精达转债,0.99%,109.77,0.6,22.88,0,1.17,AA,5.825,1.83,7.87,未到转股期,67.35000000000001
54,110052,贵广转债,0.36%,109.93,0.14,20.72,0,1.77,AA+,4.370,1.59,15.266,190052,69.35
33,113557,森特转债,0.55%,110.6,-1.04,17.95,0,1.75,AA-,5.159,2.19,5.999,191557,71.45
74,127020,中金转债,0.14%,110.652,0.23,22.05,0,0.48,AA+,5.745,1.38,38.0,未到转股期,67.298
41,128116,瑞达转债,0.19%,110.834,0.32,18.72,0,0.71,AA,5.688,7.28,6.5,未到转股期,70.446
51,113570,百达转债,2.01%,111.0,0.75,19.38,0,0.72,A+,5.384,2.28,2.8,191570,69.62
72,128124,科华转债,0.15%,111.16,-1.25,21.45,0,-0.14,AA,5.764,3.96,7.38,未到转股期,67.39
70,128069,华森转债,1.49%,111.31,-1.89,21.19,0,1.65,AA-,4.674,5.95,2.998,128069,67.5
65,113549,白电转债,1.67%,111.97,0.0,19.93,0,0.56,AA,5.066,1.51,8.799,191549,68.1
34,113599,嘉友转债,-0.26%,112.15,-3.2,16.66,0,2.07,AA-,5.786,2.81,7.2,未到转股期,71.19
19,123004,铁汉转债,2.27%,112.71,0.77,14.44,1,-0.84,AA,3.156,1.5,8.032,123004,72.85000000000001
62,128120,联诚转债,3.32%,113.44,0.3,17.9,0,0.77,A,5.734,2.71,2.6,未到转股期,68.66
16,110071,湖盐转债,1.21%,113.76,1.05,11.23,0,0.22,AA,5.715,2.45,7.2,未到转股期,75.00999999999999
38,110056,亨通转债,0.65%,114.34,-0.77,14.86,1,0.09,AA+,4.408,2.05,17.105,190056,70.8
55,128117,道恩转债,1.35%,114.47,-0.59,16.19,0,1.37,AA-,5.693,7.18,3.6,未到转股期,69.34
13,113595,花王转债,1.29%,114.52,-0.28,9.93,0,1.18,AA-,5.745,2.19,3.3,未到转股期,75.55000000000001
TOTAL,,,,110.20528,,18.9328,,,,,,,,
