,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
4,128085,鸿达转债,0.12%,111.47,-0.25,8.97,0,2.19,AA,5.323,1.39,24.259,128085,79.56
8,113033,利群转债,0.09%,116.44,0.39,4.78,0,-0.18,AA,5.611,1.46,18.0,未到转股期,78.78
9,128120,联诚转债,1.14%,110.05,3.43,11.28,0,1.27,A,5.904,2.77,2.6,未到转股期,78.67
10,128050,钧达转债,1.87%,119.071,4.48,2.37,1,0.87,AA-,4.307,2.31,3.199,128050,78.559
13,113591,胜达转债,0.84%,106.68,1.34,15.37,0,2.39,AA-,5.86,3.86,5.5,未到转股期,77.94999999999999
14,113576,起步转债,-0.45%,109.12,-3.14,12.98,0,2.02,AA-,5.636,2.82,5.2,未到转股期,77.89999999999999
22,110058,永鼎转债,2.02%,124.54,3.08,-1.15,1,-1.75,AA,4.652,3.0,8.798,190058,76.61
25,123028,清水转债,0.13%,109.712,2.82,14.85,0,2.25,AA-,4.827,1.51,4.898,123028,75.438
27,113568,新春转债,0.04%,111.73,-0.23,13.0,0,2.06,AA-,5.54,1.43,3.3,未到转股期,75.27
31,110064,建工转债,-0.32%,108.57,0.24,17.02,0,1.97,AA+,5.332,0.91,16.6,190064,74.41000000000001
35,128087,孚日转债,0.12%,104.819,0.0,21.39,0,1.5,AA,5.326,1.28,6.499,128087,73.791
42,113527,维格转债,0.23%,95.17,0.14,31.66,1,5.54,AA,4.427,0.69,7.457,191527,73.17
43,110070,凌钢转债,0.07%,104.76,0.0,22.07,0,2.14,AA,5.647,0.84,4.4,未到转股期,73.16999999999999
53,128069,华森转债,0.01%,114.7,-0.43,12.89,0,0.95,AA-,4.844,6.69,2.998,128069,72.41
54,128081,海亮转债,-0.12%,107.917,-0.45,19.83,0,1.28,AA,5.255,1.81,31.5,128081,72.253
61,128076,金轮转债,-0.09%,107.576,1.55,21.21,0,1.38,AA-,5.151,1.21,2.139,128076,71.214
67,113024,核建转债,-0.96%,109.26,-1.66,20.09,0,0.09,AAA,4.63,1.5,29.957,191024,70.64999999999999
77,113528,长城转债,0.56%,106.81,1.43,23.5,0,2.2,AA-,4.529,1.87,6.339,191528,69.69
113,113017,吉视转债,0.02%,103.0,0.87,31.54,0,1.97,AA+,3.351,1.03,15.591,191017,65.46000000000001
118,113505,杭电转债,-0.04%,108.96,0.0,25.89,0,0.87,AA,3.54,1.68,7.499,191505,65.15
135,123023,迪森转债,-0.08%,101.101,0.58,35.83,0,2.89,AA,4.581,1.26,5.998,123023,63.069
158,123004,铁汉转债,0.06%,101.8,1.38,37.81,1,2.35,AA,3.326,1.12,8.332,123004,60.39
180,128015,久其转债,0.07%,103.691,-0.28,39.43,1,2.43,A+,2.797,5.46,7.796,128015,56.879
192,128018,时达转债,0.39%,105.4,0.18,40.66,1,1.46,AA,3.211,1.3,8.822,128018,53.94
250,128062,亚药转债,-1.45%,80.809,-2.72,115.98,0,9.09,A-,4.616,5.36,9.642,128062,3.2109999999999985
TOTAL,,,,107.32624,0.5099999999999999,23.97,,1.9692,,,,,,
