,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
1,113033,利群转债,0.63%,114.92,0.26,3.55,0,0.06,AA,5.622,1.45,18.0,未到转股期,81.53
2,113576,起步转债,0.59%,108.87,-0.1,9.91,0,2.06,AA-,5.647,2.89,5.2,未到转股期,81.22
3,128085,鸿达转债,0.99%,110.99,2.03,7.96,0,2.27,AA,5.334,1.4,24.259,128085,81.05000000000001
5,110058,永鼎转债,3.38%,119.41,5.8,-0.03,1,-0.84,AA,4.663,2.85,9.794,190058,80.62
6,113591,胜达转债,0.40%,105.0,1.44,15.25,0,2.67,AA-,5.871,3.8,5.5,未到转股期,79.75
8,128120,联诚转债,7.52%,107.523,2.26,13.58,0,1.68,A,5.915,2.65,2.6,未到转股期,78.897
12,128050,钧达转债,0.64%,116.735,0.98,5.11,1,1.34,AA-,4.318,2.21,3.199,128050,78.155
16,113568,新春转债,0.59%,111.16,0.91,11.16,0,2.16,AA-,5.551,1.45,3.3,未到转股期,77.68
20,113527,维格转债,1.21%,95.16,-4.81,28.05,1,5.53,AA,4.438,0.71,7.457,191527,76.79
21,123028,清水转债,0.19%,109.762,0.89,14.3,0,2.23,AA-,4.838,1.52,4.898,123028,75.938
32,128087,孚日转债,0.41%,104.757,1.11,21.1,0,1.51,AA,5.337,1.28,6.499,128087,74.143
38,110070,凌钢转债,-0.29%,104.57,1.29,21.85,0,2.17,AA,5.658,0.84,4.4,未到转股期,73.58000000000001
39,128081,海亮转债,0.01%,108.79,0.11,18.24,0,1.11,AA,5.266,1.85,31.5,128081,72.97
45,128069,华森转债,0.18%,115.53,0.7,11.69,0,0.8,AA-,4.855,6.81,2.998,128069,72.78
48,110064,建工转债,0.05%,110.15,-3.81,17.34,0,1.69,AA+,5.342,0.92,16.6,190064,72.50999999999999
64,113024,核建转债,0.94%,108.16,1.98,20.78,0,0.31,AAA,4.641,1.47,29.957,191024,71.06
66,113528,长城转债,1.22%,107.61,4.06,21.59,0,2.02,AA-,4.54,1.92,6.339,191528,70.8
67,113505,杭电转债,0.05%,107.85,0.16,21.46,0,1.17,AA,3.551,1.72,7.499,191505,70.69
88,128076,金轮转债,0.82%,109.157,2.17,22.34,0,1.09,AA-,5.162,1.22,2.139,128076,68.503
115,113017,吉视转债,0.21%,103.38,0.87,30.89,0,1.84,AA+,3.362,1.04,15.591,191017,65.73
134,123023,迪森转债,0.06%,100.87,1.36,36.3,0,2.94,AA,4.592,1.25,5.998,123023,62.83
135,123004,铁汉转债,0.23%,102.479,-0.66,35.06,1,2.13,AA,3.337,1.16,8.332,123004,62.461
149,128018,时达转债,1.19%,104.6,2.85,34.51,1,1.7,AA,3.222,1.35,8.822,128018,60.89000000000001
151,128015,久其转债,0.11%,103.92,1.26,35.7,1,2.34,A+,2.808,5.62,7.796,128015,60.379999999999995
253,128062,亚药转债,0.26%,79.964,0.0,139.74,0,9.32,A-,4.627,4.78,9.643,128062,-19.704000000000008
TOTAL,,,,106.85268,0.9244,23.8972,,2.052,,,,,,
