,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
25,113527,维格转债,-0.02%,95.14,-1.5,29.97,1,5.54,AA,4.436,0.7,7.457,191527,74.89
53,128012,辉丰转债,0.00%,99.999,1.19,28.45,1,2.57,A,1.674,1.91,0.24,128012,71.551
33,128087,孚日转债,-0.05%,104.7,-0.37,21.48,0,1.52,AA,5.334,1.28,6.499,128087,73.82
37,110070,凌钢转债,0.35%,104.94,0.42,21.77,0,2.11,AA,5.655,0.85,4.4,未到转股期,73.29
6,113591,胜达转债,0.05%,105.05,0.3,14.96,0,2.67,AA-,5.868,3.81,5.5,未到转股期,79.99000000000001
60,113528,长城转债,-0.37%,107.21,-0.86,22.18,0,2.11,AA-,4.537,1.9,6.339,191528,70.61000000000001
8,128120,联诚转债,0.61%,108.181,0.69,13.49,0,1.57,A,5.912,2.67,2.6,未到转股期,78.32900000000001
65,123011,德尔转债,0.93%,108.493,2.77,21.71,0,1.82,AA-,3.918,1.51,2.507,123011,69.797
47,128081,海亮转债,-0.12%,108.664,-0.45,18.63,0,1.14,AA,5.263,1.84,31.5,128081,72.706
52,127016,鲁泰转债,0.09%,108.7,-0.37,19.71,0,1.21,AA+,5.641,0.89,14.0,未到转股期,71.59
35,110064,建工转债,-1.00%,109.05,-0.93,17.26,0,1.88,AA+,5.34,0.91,16.6,190064,73.69
26,123028,清水转债,-0.06%,109.701,-1.06,15.45,0,2.24,AA-,4.836,1.5,4.898,123028,74.849
17,128056,今飞转债,0.14%,111.151,0.15,11.81,0,1.94,A+,4.534,2.4,3.676,128056,77.039
0,113576,起步转债,2.10%,111.16,5.07,6.8,0,1.67,AA-,5.644,3.04,5.2,未到转股期,82.04
44,113037,紫银转债,-0.13%,111.29,-1.72,15.93,0,0.69,AA+,5.929,1.18,45.0,未到转股期,72.78
4,128085,鸿达转债,0.35%,111.38,0.74,7.54,0,2.21,AA,5.332,1.41,24.259,128085,81.08
42,113557,森特转债,0.48%,111.68,0.93,15.44,0,1.5,AA-,5.337,2.23,5.999,191557,72.88
63,128042,凯中转债,0.21%,112.04,-0.73,17.78,0,0.97,AA,3.951,2.57,4.158,128042,70.17999999999999
18,113568,新春转债,1.45%,112.77,2.02,10.54,0,1.89,AA-,5.548,1.48,3.3,未到转股期,76.69
13,113570,百达转债,0.07%,112.79,-0.5,9.65,0,0.4,A+,5.562,2.55,2.8,未到转股期,77.55999999999999
61,123010,博世转债,-0.28%,113.36,-1.08,16.03,1,-0.25,AA-,3.882,2.61,4.297,123010,70.61
2,113595,花王转债,13.62%,113.62,0.94,5.0,0,1.28,AA-,5.923,2.26,3.3,未到转股期,81.38
49,113546,迪贝转债,-0.18%,113.69,-0.64,14.18,0,1.26,A+,5.181,2.6,2.299,191546,72.13
5,127019,国城转债,-0.19%,113.832,-0.26,5.1,0,0.19,AA,5.907,12.0,8.5,未到转股期,81.06800000000001
11,128025,特一转债,-0.03%,113.9,0.72,8.3,1,-1.13,AA-,3.301,2.6,2.991,128025,77.8
TOTAL,,,,109.29964,,15.566400000000002,,,,,,,,
