,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
36,123037,新莱转债,-2.21%,132.7,-5.33,-4.04,0,-2.02,A+,5.775,4.12,2.8,未到转股期,70.33000000000001
42,128090,汽模转2,-0.59%,133.2,-2.19,-3.77,0,-2.51,AA,5.8,1.99,4.71,未到转股期,69.62750000000001
1,128087,孚日转债,1.57%,122.389,3.73,-2.97,0,-1.35,AA,5.773,2.02,6.5,未到转股期,79.83850000000001
17,110054,通威转债,-0.61%,126.63,-1.14,-0.45,0,-1.84,AA+,5.022,3.52,29.755,190054,73.70750000000001
37,123018,溢利转债,-1.98%,130.104,-1.89,-0.33,0,-2.61,AA-,4.781,2.07,2.659,123018,70.14349999999999
0,123019,中来转债,-0.89%,113.011,-1.7,-0.27,0,2.0,AA-,4.964,1.92,6.799,123019,87.1915
5,110046,圆通转债,-2.14%,123.74,-2.49,-0.25,0,-1.56,AA+,4.696,3.0,18.524,190046,76.4475
26,128039,三力转债,-0.48%,126.99,-0.95,1.84,1,-3.33,AA-,4.244,2.35,2.027,128039,71.63000000000001
10,113517,曙光转债,-0.69%,123.27,-3.29,2.69,0,-2.01,AA,4.408,9.9,10.332,191517,74.7125
31,123027,蓝晓转债,-1.06%,126.538,-2.71,3.06,0,-1.03,A+,5.252,6.12,2.528,123027,71.167
47,113526,联泰转债,-1.10%,127.9,-0.28,4.53,0,-2.95,AA,4.871,2.51,2.071,191526,68.7025
14,128085,鸿达转债,-0.72%,122.109,-2.53,5.19,0,0.39,AA,5.77,1.82,24.27,未到转股期,73.9985
39,128057,博彦转债,0.01%,126.009,-1.13,5.43,0,-1.49,AA-,4.986,2.04,5.379,128057,69.9185
34,113554,仙鹤转债,0.23%,124.3,2.12,6.73,0,-0.87,AA,5.767,2.83,12.5,未到转股期,70.6525
40,127007,湖广转债,-0.74%,125.0,-2.96,6.9,1,-2.35,AA+,4.301,0.93,12.186,127007,69.825
2,128025,特一转债,-0.12%,115.991,-1.6,7.63,1,-1.48,AA-,3.74,3.03,2.992,128025,78.2865
20,113559,永创转债,-1.09%,120.37,-2.48,9.51,0,-0.22,AA-,5.786,3.8,5.12,未到转股期,72.4975
18,123030,九洲转债,-0.82%,119.01,-4.5,10.3,0,0.23,AA-,5.444,1.04,3.08,123030,73.265
TOTAL,,,,124.40338888888888,,2.873888888888889,,,,,,,,
