,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,128081,海亮转债,-1.05%,111.32,0.22,19.85,0,0.62,AA,5.658,2.11,31.5,未到转股期,73.7925
3,128066,亚泰转债,-1.78%,114.51,-2.2,19.35,1,0.61,AA-,5.06,1.61,4.799,128066,70.97749999999999
6,128034,江银转债,-0.20%,111.18,0.24,25.38,2,-0.5,AA+,3.836,0.8,17.582,128034,69.785
8,110058,永鼎转债,-0.47%,115.5,-1.01,20.46,1,-0.04,AA,5.055,2.2,9.794,190058,69.155
20,128050,钧达转债,-4.34%,121.493,-5.38,14.59,1,0.36,AA-,4.71,2.19,3.199,128050,67.56450000000001
33,113541,荣晟转债,-0.80%,111.94,0.63,30.16,0,0.6,AA-,5.323,2.0,3.3,191541,65.44
34,128049,华源转债,-2.45%,111.992,0.62,30.17,0,0.62,AA-,4.674,1.33,3.999,128049,65.3805
44,128069,华森转债,-5.06%,122.002,-4.23,17.45,0,-0.24,AA-,5.247,7.28,2.999,128069,64.91050000000001
48,113027,华钰转债,-1.61%,110.36,-0.12,33.77,0,0.84,AA,5.216,2.06,6.4,191027,64.3125
70,127003,海印转债,-0.18%,108.6,3.08,39.69,2,1.98,AA,2.2,1.42,9.415,127003,61.63250000000001
83,113535,大业转债,-0.87%,109.43,-1.51,40.25,0,0.9,AA,4.118,1.68,5.0,191535,60.38249999999999
96,113528,长城转债,-1.33%,107.29,-2.04,44.76,0,1.92,AA-,4.932,1.69,6.339,191528,59.13999999999999
100,128076,金轮转债,-2.32%,113.98,-0.64,36.74,0,0.21,AA-,5.553,1.16,2.14,未到转股期,58.464999999999996
120,123004,铁汉转债,0.08%,111.74,2.64,43.0,1,-0.48,AA,3.729,1.13,8.332,123004,56.010000000000005
126,123023,迪森转债,-1.78%,106.275,-0.59,51.91,0,1.61,AA,4.984,1.17,6.0,123023,54.7925
137,113546,迪贝转债,-2.10%,115.84,0.13,41.82,0,0.82, A+,5.575,2.35,2.3,未到转股期,52.794999999999995
143,128015,久其转债,-1.11%,107.088,-0.61,55.7,1,1.38,A+,3.2,4.17,7.796,128015,51.137
146,128018,时达转债,-0.27%,109.2,-2.39,53.21,1,0.28,AA,3.614,1.24,8.822,128018,50.8925
200,128062,亚药转债,0.21%,90.902,-2.26,184.07,0,5.83,A+,5.019,4.41,9.646,128062,-28.95450000000001
TOTAL,,,,111.08642105263156,-0.8115789473684211,42.2278947368421,,0.911578947368421,,,,,,
