,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
23,128065,雅化转债,0.88%,94.741,3.24,16.23,0,2.85,AA,5.852,8.000,未到转股期,89.029
27,128026,众兴转债,0.21%,94.848,1.74,17.06,0,3.61,AA-,4.51,9.197,128026,88.092
25,128066,亚泰转债,0.93%,97.3,3.4,14.29,0,3.42,AA-,5.855,4.800,未到转股期,88.41
12,113527,维格转债,1.15%,98.19,2.99,10.95,0,3.82,AA,5.625,7.460,未到转股期,90.86
20,123023,迪森转债,1.43%,98.29,4.47,12.0,0,2.86,AA,5.778,6.000,未到转股期,89.71
6,113025,明泰转债,1.24%,98.34,2.08,9.6,0,2.85,AA,5.833,18.390,未到转股期,92.06
19,128056,今飞转债,0.89%,98.613,2.04,11.62,0,3.82,A+,5.723,3.680,未到转股期,89.767
9,113521,科森转债,1.66%,100.15,4.56,8.52,0,2.75,AA,5.438,6.099,191521,91.33
22,113514,威帝转债,1.30%,100.2,2.49,10.67,0,2.68,A+,4.11,1.999,191514,89.13
11,128062,亚药转债,0.82%,100.22,1.91,8.86,0,3.22,AA,5.814,9.650,未到转股期,90.92
24,127003,海印转债,2.40%,102.6,3.62,8.7,2,3.42,AA,2.995,11.108,127003,88.7
1,113535,大业转债,2.05%,102.79,3.24,1.18,0,2.06,AA,4.912,5.000,未到转股期,96.02999999999999
8,128049,华源转债,1.81%,102.84,2.81,5.79,0,2.23,AA-,5.468,4.000,128049,91.36999999999999
16,128048,张行转债,2.23%,103.33,4.62,6.31,0,1.92,AA+,5.427,24.998,128048,90.36
0,128060,中装转债,2.98%,103.402,4.69,-0.27,0,1.62,AA,5.795,5.250,未到转股期,96.868
26,113519,长久转债,1.70%,103.62,4.32,8.28,0,2.91,AA,5.414,6.969,191519,88.1
2,113505,杭电转债,1.78%,104.2,5.49,1.42,0,1.72,AA,4.737,7.767,191505,94.38
14,123012,万顺转债,2.18%,104.597,3.09,4.99,0,1.25,AA-,5.112,1.703,123012,90.41300000000001
TOTAL,,,,100.4595,,8.677777777777777,,,,,,,
