,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
21,113527,维格转债,-0.01%,97.07,-0.33,12.96,0,4.03,AA,5.627,7.460,未到转股期,89.97
8,113025,明泰转债,0.54%,97.14,1.51,10.51,0,3.07,AA,5.836,18.390,未到转股期,92.35
25,128056,今飞转债,-0.32%,97.74,2.44,12.89,0,3.98,A+,5.726,3.680,未到转股期,89.37
22,113521,科森转债,0.02%,98.51,1.94,11.6,0,3.07,AA,5.441,6.099,191521,89.89
26,113514,威帝转债,0.01%,98.91,0.0,11.96,0,3.0,A+,4.112,1.999,191514,89.13
15,128062,亚药转债,0.40%,99.401,1.38,10.03,0,3.36,AA,5.816,9.650,未到转股期,90.569
23,127003,海印转债,1.20%,100.196,6.56,10.0,2,4.25,AA,2.997,11.108,127003,89.804
0,128060,中装转债,0.10%,100.413,-0.8,1.39,0,2.15,AA,5.797,5.250,未到转股期,98.197
1,113535,大业转债,0.10%,100.73,-0.32,2.36,0,2.49,AA,4.915,5.000,未到转股期,96.91
9,128049,华源转债,0.01%,101.01,3.49,6.83,0,2.57,AA-,5.471,4.000,128049,92.16
20,128048,张行转债,0.41%,101.079,1.26,8.8,0,2.34,AA+,5.43,24.998,128048,90.12100000000001
29,123013,横河转债,0.96%,101.799,3.13,10.0,0,2.74,A+,5.132,0.383,123013,88.201
11,123012,万顺转债,-0.43%,102.361,0.19,5.92,0,1.69,AA-,5.115,1.703,123012,91.719
7,113505,杭电转债,1.17%,102.38,1.43,5.12,0,2.11,AA,4.74,7.767,191505,92.5
2,128057,博彦转债,1.07%,102.6,2.08,2.37,0,2.46,AA-,5.74,5.758,未到转股期,95.03
6,128034,江银转债,0.60%,102.803,0.88,4.59,2,1.41,AA+,4.633,17.583,128034,92.607
28,113516,苏农转债,-0.30%,102.99,0.5,8.65,0,2.32,AA+,5.148,12.887,191516,88.36
18,113525,台华转债,0.10%,103.52,-0.7,6.18,0,2.01,AA,5.523,5.330,未到转股期,90.30000000000001
TOTAL,,,,100.59177777777779,,7.89777777777778,,,,,,,
