,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
14,113523,伟明转债,0.04%,112.02,-0.25,-2.2,0,0.54,AA,5.501,6.700,未到转股期,90.18
2,123018,溢利转债,-0.83%,107.708,-0.75,-1.86,0,1.26,AA-,5.529,6.650,未到转股期,94.152
27,110052,贵广转债,-0.10%,113.6,1.84,-1.64,0,0.83,AA+,5.734,16.000,未到转股期,88.04
9,113526,联泰转债,0.07%,110.49,-0.71,-1.18,0,0.1,AA,5.619,3.900,未到转股期,90.69000000000001
10,128039,三力转债,0.11%,109.003,3.95,0.55,1,0.24,AA-,4.992,2.810,128039,90.447
0,128060,中装转债,0.76%,104.19,-0.15,0.64,0,1.49,AA,5.792,5.250,未到转股期,95.17
20,127007,湖广转债,0.78%,109.85,1.17,0.81,1,0.68,AA+,5.049,13.216,127007,89.34
23,128055,长青转2,-1.75%,109.01,-1.74,2.38,0,1.04,AA,5.718,9.138,未到转股期,88.61
3,128057,博彦转债,-0.89%,104.26,-1.43,2.63,0,2.17,AA-,5.734,5.758,未到转股期,93.11
5,128053,尚荣转债,-0.26%,105.03,-0.98,3.15,0,1.69,AA,5.682,7.500,未到转股期,91.82
4,113505,杭电转债,0.02%,104.22,-2.14,3.65,0,1.72,AA,4.734,7.767,191505,92.13
21,128025,特一转债,0.59%,106.478,1.09,4.45,1,0.8,AA-,4.488,3.394,128025,89.072
1,113535,大业转债,-2.56%,100.16,-5.88,4.75,0,2.61,AA,4.91,5.000,未到转股期,95.09
19,128034,江银转债,0.20%,105.205,-1.27,5.43,2,0.9,AA+,4.627,17.583,128034,89.36500000000001
17,128063,未来转债,-0.17%,104.821,-1.15,5.67,0,3.69,AA-,5.814,6.300,未到转股期,89.509
12,123012,万顺转债,-0.89%,103.671,-1.87,6.05,0,1.43,AA-,5.11,1.703,123012,90.279
7,128049,华源转债,-0.10%,102.741,-0.55,6.27,0,2.25,AA-,5.466,4.000,128049,90.989
25,123014,凯发转债,-9.93%,105.2,-0.37,6.37,0,0.99,A+,4.126,3.150,123014,88.42999999999999
TOTAL,,,,106.53649999999999,,2.5511111111111107,,,,,,,
