,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,123011,德尔转债,-0.32%,111.139,-0.74,-0.75,0,1.12,AA-,4.773,2.02,5.388,123011,89.611
3,128066,亚泰转债,0.39%,107.4,1.57,7.04,1,1.76,AA-,5.521,1.74,4.8,未到转股期,85.55999999999999
8,113541,荣晟转债,0.21%,107.51,0.38,7.86,0,1.27,AA-,5.784,2.6,3.3,未到转股期,84.63
19,113027,华钰转债,-0.11%,103.14,-0.54,14.89,0,2.0,AA,5.677,2.27,6.4,未到转股期,81.97
20,113514,威帝转债,-0.29%,106.15,-0.43,12.16,0,1.23,A+,3.775,3.25,1.342,191514,81.69
22,113537,文灿转债,-0.05%,104.5,-2.27,15.26,0,2.84,AA-,5.666,1.79,8.0,未到转股期,80.24
26,128069,华森转债,0.06%,105.262,0.73,15.41,0,2.45,AA-,5.707,6.69,3.0,未到转股期,79.328
30,127003,海印转债,0.08%,107.84,0.71,14.3,2,1.91,AA,2.66,1.76,9.415,127003,77.86
46,123023,迪森转债,0.08%,100.191,0.69,23.99,0,2.67,AA,5.444,1.38,6.0,123023,75.819
48,128056,今飞转债,-0.04%,101.32,-0.89,23.33,0,3.53,A+,5.389,1.97,3.68,128056,75.35000000000001
50,128070,智能转债,-0.18%,103.472,-1.1,21.69,0,2.39,A+,5.729,4.14,2.3,未到转股期,74.83800000000001
63,123004,铁汉转债,0.68%,102.31,0.93,25.29,1,1.85,AA,4.189,1.18,8.332,123004,72.4
73,113528,长城转债,0.20%,101.2,-1.3,27.99,0,2.98,AA-,5.392,1.84,6.34,191528,70.81
84,128050,钧达转债,0.44%,102.05,1.24,28.51,0,3.96,AA-,5.17,2.42,3.199,128050,69.44
91,128044,岭南转债,0.00%,102.303,-0.21,28.86,1,1.88,AA,4.847,1.55,6.593,128044,68.837
126,128018,时达转债,0.19%,98.082,0.39,41.34,1,3.11,AA,4.074,1.19,8.823,128018,60.578
132,128015,久其转债,0.18%,96.336,0.16,45.19,1,4.23,A+,3.66,4.37,7.798,128015,58.474000000000004
162,128062,亚药转债,-0.01%,96.42,0.34,74.87,0,4.17,AA,5.479,1.76,9.65,128062,28.709999999999994
TOTAL,,,,103.14583333333333,-0.018888888888888872,23.735,,2.519444444444445,,,,,,
