,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,113539,圣达转债,0.24%,106.7,0.59,-4.87,0,2.29,A+,5.91,4.49,2.99,未到转股期,96.9525
1,123026,中环转债,-2.08%,107.707,-2.44,-2.51,0,0.65,AA-,4.849,2.68,2.9,未到转股期,94.1755
3,128060,中装转债,-1.36%,108.5,-3.67,-1.35,0,0.79,AA,5.641,1.86,5.25,未到转股期,92.5125
33,123018,溢利转债,1.18%,116.609,1.46,-0.24,0,-0.21,AA-,5.378,1.92,5.303,123018,83.57100000000001
21,123001,蓝标转债,-2.35%,112.3,-3.09,2.05,3,-0.38,AA,2.37,1.49,1.695,123001,86.16250000000001
7,123020,富祥转债,-0.56%,106.001,-1.39,6.21,0,2.48,AA-,5.573,3.29,4.2,未到转股期,89.3415
15,123027,蓝晓转债,-1.23%,108.001,-4.9,6.24,0,1.86,A+,5.849,6.39,3.4,未到转股期,87.31899999999999
5,123024,岱勒转债,-2.29%,102.6,-9.88,7.75,0,2.22,A+,4.627,3.4,2.1,未到转股期,91.5875
2,113027,华钰转债,-1.23%,100.83,-4.84,8.63,0,2.34,AA,5.858,2.47,6.4,未到转股期,92.6975
16,128025,特一转债,-1.62%,105.544,-3.52,10.25,1,1.04,AA-,4.337,2.77,3.394,128025,86.7685
19,128038,利欧转债,-0.05%,105.895,-2.37,10.39,1,1.6,AA,4.63,1.4,1.809,128038,86.3125
44,128068,和而转债,-1.24%,111.011,-2.78,11.01,0,0.36,AA-,5.833,4.69,5.47,未到转股期,80.73150000000001
6,123028,清水转债,-1.60%,101.559,-5.74,12.06,0,3.31,AA-,5.871,1.62,4.9,未到转股期,89.396
4,128062,亚药转债,-0.52%,99.201,-1.58,12.26,0,3.5,AA,5.66,3.0,9.65,未到转股期,91.60400000000001
13,113536,三星转债,-0.23%,102.89,-4.55,12.58,0,2.0,AA,5.819,2.9,1.92,未到转股期,87.675
22,128053,尚荣转债,-1.62%,104.34,-4.04,13.13,0,1.86,AA,5.532,1.35,7.5,未到转股期,85.8125
8,113540,南威转债,-0.83%,99.99,-4.54,14.71,0,2.89,AA-,5.942,2.67,6.6,未到转股期,88.9775
9,128066,亚泰转债,-0.57%,98.564,0.34,16.72,0,3.28,AA-,5.701,1.85,4.8,未到转股期,88.89600000000002
TOTAL,,,,105.4578888888889,,7.501111111111111,,,,,,,,
