,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,113539,圣达转债,0.14%,111.17,-2.38,-6.99,0,1.57,A+,5.874,4.78,2.99,未到转股期,94.07249999999999
43,128060,中装转债,3.10%,123.0,1.39,-5.11,0,-1.48,AA,5.605,2.19,5.25,未到转股期,80.8325
4,123024,岱勒转债,1.38%,110.001,5.49,0.33,0,0.67,A+,4.592,3.92,2.1,未到转股期,89.7515
38,113523,伟明转债,0.17%,117.08,4.62,1.51,0,-0.29,AA,5.315,5.72,4.575,191523,81.78750000000001
10,123026,中环转债,1.64%,110.1,3.18,1.98,0,0.19,AA-,4.814,2.62,2.9,未到转股期,88.415
16,123027,蓝晓转债,1.47%,110.5,3.51,4.66,0,1.46,A+,5.814,6.63,3.4,未到转股期,86.005
41,123020,富祥转债,2.49%,114.274,4.73,5.64,0,1.08,AA-,5.537,3.56,4.2,未到转股期,81.496
1,113027,华钰转债,0.31%,101.98,0.74,8.71,0,2.15,AA,5.822,2.5,6.4,未到转股期,91.4875
18,128053,尚荣转债,1.88%,107.14,4.13,9.38,0,1.37,AA,5.496,1.43,7.5,未到转股期,85.825
23,128025,特一转债,1.08%,107.666,1.81,9.73,1,0.57,AA-,4.301,2.84,3.394,128025,85.0365
7,113536,三星转债,0.49%,103.49,1.98,10.48,0,1.91,AA,5.784,2.97,1.92,未到转股期,88.65
8,123028,清水转债,0.73%,103.2,2.68,10.9,0,3.04,AA-,5.836,1.66,4.9,未到转股期,88.625
2,113541,荣晟转债,0.51%,100.6,-0.12,10.91,0,2.4,AA-,5.929,2.31,3.3,未到转股期,91.2175
12,123019,中来转债,1.37%,105.3,4.92,11.15,0,3.21,AA-,5.526,1.68,10.0,未到转股期,86.3375
3,113514,威帝转债,0.84%,100.69,3.29,11.24,0,2.57,A+,3.921,3.02,1.998,191514,90.88
37,128038,利欧转债,2.33%,108.5,1.83,11.75,1,1.06,AA,4.595,1.42,1.809,128038,82.6875
25,128063,未来转债,1.47%,106.6,3.91,12.3,0,3.5,AA-,5.627,3.27,6.3,未到转股期,84.17500000000001
21,113540,南威转债,3.41%,105.52,6.5,12.52,0,1.95,AA-,5.907,2.87,6.6,未到转股期,85.09
TOTAL,,,,108.15616666666665,,6.727222222222222,,,,,,,,
