,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,123004,铁汉转债,5.83%,120.6,16.36,-3.62,1,-2.88,AA,3.277,1.91,8.331,123004,83.02000000000001
3,123023,迪森转债,2.89%,110.38,11.66,8.23,0,0.91,AA,4.532,1.73,5.998,123023,81.39
7,113576,起步转债,-0.32%,108.8,0.0,11.12,0,2.09,AA-,5.586,2.86,5.2,未到转股期,80.08
8,110058,永鼎转债,2.96%,120.77,5.7,-0.54,1,-1.1,AA,4.603,2.9,7.717,190058,79.77000000000001
11,123028,清水转债,2.08%,115.0,6.45,5.8,0,1.24,AA-,4.778,1.72,4.897,123028,79.2
15,128050,钧达转债,-0.35%,119.077,-0.06,2.13,1,0.88,AA-,4.258,2.32,3.199,128050,78.793
21,128085,鸿达转债,1.18%,110.691,4.57,11.54,0,2.35,AA,5.274,1.32,24.259,128085,77.769
29,113568,新春转债,0.36%,112.77,1.8,11.27,0,1.91,AA-,5.49,1.47,3.3,未到转股期,75.96000000000001
32,113591,胜达转债,-0.09%,107.73,-1.02,16.77,0,2.24,AA-,5.811,3.85,5.5,未到转股期,75.5
33,113527,维格转债,0.07%,94.14,2.01,30.42,1,5.87,AA,4.378,0.69,7.457,191527,75.44
38,128069,华森转债,-0.30%,112.8,0.0,12.43,0,1.32,AA-,4.795,6.61,2.998,128069,74.77000000000001
44,128120,联诚转债,-0.04%,108.7,1.07,17.01,0,1.5,A,5.855,2.6,2.6,未到转股期,74.28999999999999
45,110070,凌钢转债,0.89%,104.54,3.95,21.3,0,2.2,AA,5.597,0.85,4.4,未到转股期,74.16
49,113033,利群转债,-0.15%,112.86,0.58,14.49,0,0.39,AA,5.562,1.29,18.0,未到转股期,72.65
51,110064,建工转债,0.43%,107.76,1.23,19.82,0,2.14,AA+,5.282,0.88,16.598,190064,72.41999999999999
52,128076,金轮转债,0.27%,107.186,1.0,20.4,0,1.47,AA-,5.101,1.21,2.139,128076,72.41399999999999
67,128087,孚日转债,-0.20%,103.15,0.39,26.18,0,1.83,AA,5.277,1.21,6.499,128087,70.66999999999999
71,128081,海亮转债,0.02%,107.035,0.83,23.19,0,1.45,AA,5.205,1.74,31.5,128081,69.775
75,113017,吉视转债,1.05%,103.79,6.17,27.05,0,1.75,AA+,3.301,1.08,15.591,191017,69.16
90,113528,长城转债,0.29%,105.71,0.45,26.03,0,2.47,AA-,4.479,1.81,6.339,191528,68.26
123,113505,杭电转债,0.41%,107.76,0.0,27.6,0,1.21,AA,3.49,1.64,7.499,191505,64.63999999999999
124,128018,时达转债,0.29%,107.115,1.81,28.4,1,0.95,AA,3.162,1.45,8.822,128018,64.48500000000001
143,113024,核建转债,-0.54%,105.5,1.7,32.52,0,0.87,AAA,4.581,1.31,29.957,191024,61.98
181,128015,久其转债,0.16%,103.252,2.06,41.04,1,2.64,A+,2.748,5.38,7.796,128015,55.708000000000006
256,128062,亚药转债,0.38%,80.78,2.77,121.36,0,9.21,A-,4.567,5.23,9.642,128062,-2.1400000000000006
TOTAL,,,,107.91584,2.8592,22.077599999999997,,1.7964000000000002,,,,,,
