,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
33,113527,维格转债,0.07%,94.14,2.01,30.42,1,5.87,AA,4.378,0.69,7.457,191527,75.44
45,110070,凌钢转债,0.89%,104.54,3.95,21.3,0,2.2,AA,5.597,0.85,4.4,未到转股期,74.16
52,128076,金轮转债,0.27%,107.186,1.0,20.4,0,1.47,AA-,5.101,1.21,2.139,128076,72.41399999999999
32,113591,胜达转债,-0.09%,107.73,-1.02,16.77,0,2.24,AA-,5.811,3.85,5.5,未到转股期,75.5
51,110064,建工转债,0.43%,107.76,1.23,19.82,0,2.14,AA+,5.282,0.88,16.598,190064,72.41999999999999
44,128120,联诚转债,-0.04%,108.7,1.07,17.01,0,1.5,A,5.855,2.6,2.6,未到转股期,74.28999999999999
7,113576,起步转债,-0.32%,108.8,0.0,11.12,0,2.09,AA-,5.586,2.86,5.2,未到转股期,80.08
34,128025,特一转债,0.02%,110.3,0.78,14.26,1,-0.14,AA-,3.244,2.38,2.991,128025,75.44
3,123023,迪森转债,2.89%,110.38,11.66,8.23,0,0.91,AA,4.532,1.73,5.998,123023,81.39
21,128085,鸿达转债,1.18%,110.691,4.57,11.54,0,2.35,AA,5.274,1.32,24.259,128085,77.769
65,128034,江银转债,0.65%,110.82,1.44,18.17,2,-0.47,AA+,3.384,0.77,17.582,128034,71.01
2,127019,国城转债,-0.11%,111.502,0.23,6.31,0,0.55,AA,5.849,11.62,8.5,未到转股期,82.188
25,113546,迪贝转债,0.07%,112.11,1.79,11.24,0,1.55,A+,5.123,2.63,2.299,191546,76.65
64,127007,湖广转债,-0.04%,112.604,1.31,16.36,1,-0.07,AA+,3.805,0.78,12.185,127007,71.036
13,113570,百达转债,0.19%,112.65,1.52,8.33,0,0.43,A+,5.504,2.58,2.8,未到转股期,79.02
29,113568,新春转债,0.36%,112.77,1.8,11.27,0,1.91,AA-,5.49,1.47,3.3,未到转股期,75.96000000000001
38,128069,华森转债,-0.30%,112.8,0.0,12.43,0,1.32,AA-,4.795,6.61,2.998,128069,74.77000000000001
49,113033,利群转债,-0.15%,112.86,0.58,14.49,0,0.39,AA,5.562,1.29,18.0,未到转股期,72.65
28,113557,森特转债,0.02%,113.73,1.56,10.14,0,1.16,AA-,5.279,2.38,5.999,191557,76.13
62,110033,国贸转债,0.19%,113.9,0.85,14.7,1,-2.83,AAA,1.326,0.52,12.118,190033,71.39999999999999
6,128056,今飞转债,-0.02%,113.97,0.97,5.68,0,1.38,A+,4.477,2.61,3.675,128056,80.35
47,113549,白电转债,0.00%,114.08,0.22,12.31,0,0.17,AA,5.186,1.6,8.799,191549,73.61
5,113008,电气转债,0.04%,114.19,2.01,5.17,1,-16.49,AAA,0.403,1.33,44.136,191008,80.64
30,113567,君禾转债,-0.49%,114.51,-0.75,9.54,0,0.77,A+,5.485,3.65,2.1,未到转股期,75.94999999999999
19,128082,华锋转债,-0.75%,114.633,-0.16,7.22,1,1.23,A+,5.238,1.63,3.52,128082,78.147
TOTAL,,,,110.69424,,13.369200000000003,,,,,,,,
