,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
1,113541,荣晟转债,0.50%,106.27,1.02,5.65,0,1.46,AA-,5.847,2.62,3.3,未到转股期,88.08
2,123011,德尔转债,0.85%,103.658,3.05,8.35,0,2.61,AA-,4.836,1.73,5.556,123011,87.992
4,113027,华钰转债,-0.01%,104.81,-0.3,7.67,0,1.69,AA,5.74,2.46,6.4,未到转股期,87.52
9,128066,亚泰转债,0.34%,106.666,-0.07,8.28,1,1.87,AA-,5.584,1.7,4.8,未到转股期,85.054
10,113514,威帝转债,0.29%,103.76,1.35,11.34,0,1.82,A+,3.838,3.11,1.998,191514,84.89999999999999
21,128056,今飞转债,-0.10%,101.603,0.34,17.55,0,3.44,A+,5.452,2.07,3.68,128056,80.84700000000001
22,113537,文灿转债,-0.02%,102.49,0.81,16.79,0,3.16,AA-,5.729,1.73,8.0,未到转股期,80.72
23,128070,智能转债,0.00%,103.13,0.47,16.28,0,2.42,A+,5.792,4.32,2.3,未到转股期,80.59
24,123004,铁汉转债,0.19%,103.1,0.0,16.91,1,1.63,AA,4.252,1.28,8.332,123004,79.99000000000001
29,123023,迪森转债,0.00%,100.597,-0.83,20.55,0,2.56,AA,5.507,1.43,6.0,未到转股期,78.85300000000001
32,128069,华森转债,0.47%,107.5,1.73,13.99,0,2.04,AA-,5.77,6.92,3.0,未到转股期,78.51
53,127003,海印转债,0.01%,106.884,0.74,17.42,2,2.2,AA,2.723,1.7,9.415,127003,75.696
62,113528,长城转债,0.04%,100.77,0.05,25.4,0,3.02,AA-,5.455,1.88,6.34,191528,73.83000000000001
83,128044,岭南转债,0.00%,103.5,-1.01,25.56,1,1.61,AA,4.91,1.61,6.593,128044,70.94
99,128050,钧达转债,0.35%,100.654,0.12,30.86,0,4.19,AA-,5.233,2.35,3.2,128050,68.486
102,128015,久其转债,0.23%,96.555,-0.59,35.41,1,4.09,A+,3.723,4.69,7.798,128015,68.035
128,128018,时达转债,0.06%,98.336,0.0,40.89,1,2.99,AA,4.137,1.2,8.823,128018,60.774
157,128062,亚药转债,0.04%,96.683,-2.17,58.38,0,4.07,AA,5.542,1.95,9.65,未到转股期,44.93699999999999
TOTAL,,,,102.60922222222223,0.26166666666666666,20.959999999999997,,2.603888888888889,,,,,,
