,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
46,128015,久其转债,-0.16%,95.524,-1.03,34.16,1,4.35,A+,3.762,4.68,7.798,128015,78.856
57,128065,雅化转债,0.03%,96.53,0.0,36.0,0,2.62,AA,5.619,2.14,8.0,未到转股期,76.47
95,110058,永鼎转债,-0.06%,97.03,0.23,43.28,0,3.18,AA,5.616,1.93,9.8,未到转股期,70.50999999999999
33,123011,德尔转债,0.05%,97.913,-0.23,27.62,0,3.82,AA-,4.874,1.39,5.556,123011,81.372
39,113016,小康转债,-0.04%,99.08,0.0,27.53,1,2.78,AA,4.175,2.53,8.814,191016,80.27250000000001
42,113528,长城转债,0.20%,99.83,0.0,27.19,0,3.18,AA-,5.493,1.83,6.34,未到转股期,79.7775
18,123023,迪森转债,0.01%,100.01,0.34,21.67,0,2.65,AA,5.545,1.4,6.0,未到转股期,83.7375
72,127013,创维转债,-0.59%,100.301,0.0,33.7,0,3.04,AA,5.616,2.69,10.4,未到转股期,74.42399999999999
10,113537,文灿转债,-0.07%,100.54,-0.53,18.0,0,3.5,AA-,5.767,1.68,8.0,未到转股期,85.96
23,113535,大业转债,0.04%,100.64,0.0,21.66,0,2.64,AA,4.679,1.8,5.0,未到转股期,83.115
40,128044,岭南转债,-0.08%,101.31,-0.41,24.69,1,2.05,AA,4.948,1.59,6.593,128044,80.1725
45,113505,杭电转债,-0.09%,101.95,-0.68,25.52,0,2.32,AA,4.504,1.58,7.5,191505,78.91
11,113521,科森转债,0.05%,102.07,0.13,17.31,0,2.5,AA,5.205,1.8,6.098,191521,84.9475
55,128033,迪龙转债,-0.08%,103.314,-0.14,26.73,1,1.56,AA,4.315,2.15,5.199,128033,76.63850000000001
0,113027,华钰转债,0.54%,103.61,1.57,8.74,0,1.89,AA,5.778,2.41,6.4,未到转股期,89.83500000000001
22,127003,海印转债,-0.04%,104.502,0.0,16.5,2,3.02,AA,2.762,1.68,9.415,127003,83.123
58,113525,台华转债,0.08%,105.08,0.29,24.77,0,1.81,AA,5.288,2.01,5.33,191525,76.3425
71,110051,中天转债,-0.03%,105.94,-0.12,26.12,0,1.42,AA+,5.49,1.3,39.651,未到转股期,74.47
TOTAL,,,,100.843,,25.621666666666666,,,,,,,,
