,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
70,128060,中装转债,2.55%,133.1,2.95,-8.87,0,-2.92,AA,5.545,2.31,5.25,未到转股期,73.55250000000001
86,113538,安图转债,-0.26%,130.13,0.64,-2.05,0,-2.13,AA,5.8,18.7,6.83,未到转股期,71.4075
42,113540,南威转债,-1.44%,119.12,-2.61,4.11,0,-0.17,AA-,5.847,3.54,6.6,未到转股期,77.7975
65,128055,长青转2,0.33%,122.501,1.29,4.7,0,-1.09,AA,5.471,1.36,9.136,128055,73.97399999999999
90,113543,欧派转债,-0.73%,125.16,1.31,4.95,0,-1.4,AA,5.934,6.45,14.95,未到转股期,71.1275
87,113028,环境转债,0.18%,124.9,0.57,5.07,0,-2.06,AAA,5.773,1.74,21.7,未到转股期,71.2975
0,113027,华钰转债,1.00%,107.95,2.06,5.36,0,1.16,AA,5.762,2.59,6.4,未到转股期,88.03
8,128053,尚荣转债,0.42%,111.19,0.98,5.58,0,0.68,AA,5.436,1.55,7.498,128053,84.625
77,128058,拓邦转债,-1.08%,122.4,-2.59,5.95,0,0.09,AA,5.493,2.77,5.73,未到转股期,73.13749999999999
44,128057,博彦转债,-0.87%,116.26,-2.87,8.16,0,0.21,AA-,5.488,1.92,5.758,未到转股期,77.61999999999999
88,110049,海尔转债,-0.20%,121.75,-0.63,9.35,0,-1.94,AAA,5.274,2.39,30.066,190049,71.2375
43,123021,万信转2,1.48%,112.9,3.33,12.49,0,0.87,AA,5.482,3.85,12.0,123021,77.73249999999999
58,128019,久立转2,0.10%,114.513,-0.37,13.09,0,-0.91,AA,4.164,2.16,10.398,128019,75.6695
66,128021,兄弟转债,1.53%,116.2,4.05,13.18,1,-1.25,AA,4.219,2.14,5.048,128021,73.91499999999999
49,123019,中来转债,-0.28%,112.687,-3.29,13.37,0,1.95,AA-,5.466,1.76,10.0,123019,77.2855
10,113521,科森转债,0.72%,105.73,0.75,13.84,0,1.79,AA,5.189,1.93,6.098,191521,83.89
31,113542,好客转债,-0.04%,108.29,2.03,15.44,0,1.09,AA,5.893,2.09,6.3,未到转股期,80.13
68,123003,蓝思转债,-0.78%,114.651,-3.99,15.54,2,-0.93,AA+,4.247,2.43,47.982,123003,73.694
TOTAL,,,,117.74622222222222,,7.736666666666666,,,,,,,,
