,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
23,113039,嘉泽转债,-0.03%,105.34,-0.32,20.14,0,1.25,AA,5.8,1.94,13.0,未到转股期,74.52
3,113595,花王转债,0.00%,105.35,0.0,14.6,0,2.71,AA-,5.704,1.93,3.3,未到转股期,80.05000000000001
71,128076,金轮转债,-0.56%,105.411,-0.56,25.37,0,1.79,AA-,4.94,1.15,2.139,128076,69.219
43,128025,特一转债,-0.07%,106.526,-1.15,20.91,1,1.01,AA-,3.082,2.48,2.991,128025,72.56400000000001
11,113601,塞力转债,-0.08%,107.1,-0.83,16.95,0,2.22,AA-,5.789,2.14,5.43,未到转股期,75.95
54,128069,华森转债,-0.09%,107.105,-0.56,21.6,0,2.54,AA-,4.633,5.7,2.998,128069,71.29499999999999
5,128013,洪涛转债,0.01%,107.639,-0.68,14.28,2,1.17,AA-,1.726,1.15,11.985,128013,78.081
47,113546,迪贝转债,-0.12%,107.71,-1.17,20.35,0,2.35,A+,4.962,2.35,2.299,191546,71.94
50,113528,长城转债,0.07%,107.95,0.05,20.55,0,2.05,AA-,4.318,1.93,6.339,191528,71.5
2,113008,电气转债,-0.11%,108.4,-0.39,9.68,1,-6.89,AAA,0.241,1.18,44.136,191008,81.91999999999999
72,113524,奇精转债,-0.25%,108.54,-2.12,22.45,0,2.08,AA,4.107,2.28,3.299,191524,69.00999999999999
65,113549,白电转债,-0.63%,108.81,-0.99,21.24,0,1.15,AA,5.025,1.45,8.799,191549,69.95
27,113033,利群转债,-0.48%,108.82,-1.21,17.0,0,1.10,AA,5.4,1.26,18.0,191033,74.18
18,128117,道恩转债,-0.61%,108.831,-2.09,16.22,0,2.31,AA-,5.652,6.83,3.6,未到转股期,74.949
40,113557,森特转债,-0.24%,108.86,-0.64,18.34,0,2.08,AA-,5.118,2.15,5.999,191557,72.8
0,128128,齐翔转2,-0.04%,108.941,-0.36,8.55,0,1.00,AA,5.786,1.68,29.9,未到转股期,82.509
13,128085,鸿达转债,-0.09%,109.173,-0.54,15.36,0,2.71,AA,5.112,1.27,24.257,128085,75.467
37,110071,湖盐转债,-0.17%,109.21,-0.65,17.58,0,0.96,AA,5.674,2.23,7.2,未到转股期,73.21000000000001
1,128127,文科转债,0.02%,109.524,-1.09,8.51,0,1.82,AA-,5.786,1.11,9.5,未到转股期,81.966
67,123010,博世转债,-0.19%,109.6,-0.9,21.01,1,0.68,AA-,3.663,2.39,4.296,123010,69.39
49,128116,瑞达转债,0.39%,109.93,0.51,18.34,0,0.86,AA,5.647,7.26,6.5,未到转股期,71.72999999999999
33,123004,铁汉转债,0.00%,110.0,-1.83,16.44,1,-0.06,AA,3.115,1.44,8.032,123004,73.56
39,128042,凯中转债,-0.43%,110.121,-0.49,16.98,0,1.50,AA,3.732,2.56,4.157,128042,72.899
17,128120,联诚转债,-0.36%,110.151,-1.31,14.76,0,1.31,A,5.693,2.71,2.6,未到转股期,75.089
21,128064,司尔转债,-0.08%,110.58,0.17,14.73,0,0.89,AA,4.422,1.08,7.998,128064,74.69
31,123023,迪森转债,-0.90%,111.544,-2.97,14.64,0,0.69,AA,4.37,1.71,5.302,123023,73.816
TOTAL,,,,108.50638461538462,,17.176153846153845,,,,,,,,
