,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
0,123023,迪森转债,9.37%,109.37,3.75,-2.74,0,0.91,AA,5.932,6.000,未到转股期,93.36999999999999
1,128060,中装转债,-0.66%,105.032,1.13,5.03,0,1.31,AA,5.948,5.250,未到转股期,89.938
2,128053,尚荣转债,0.37%,119.0,1.58,-8.71,0,-0.55,AA,5.838,7.500,未到转股期,89.71000000000001
3,128056,今飞转债,-1.19%,108.203,-0.28,2.19,0,2.05,A+,5.877,3.680,未到转股期,89.607
4,123011,德尔转债,-0.91%,108.001,0.41,3.02,0,1.67,AA-,5.26,5.556,123011,88.979
5,123018,溢利转债,-0.38%,115.4,1.3,-4.19,0,-0.02,AA-,5.685,6.650,未到转股期,88.78999999999999
6,113514,威帝转债,-0.08%,109.01,1.78,2.6,0,0.54,A+,4.263,1.999,191514,88.39
7,128057,博彦转债,-0.53%,113.0,-2.11,-1.3,0,0.69,AA-,5.89,5.758,未到转股期,88.3
8,113527,维格转债,-0.05%,115.08,1.38,-2.68,0,0.84,AA,5.778,7.460,未到转股期,87.60000000000001
9,128049,华源转债,-0.26%,114.61,2.43,-1.86,0,0.17,AA-,5.622,4.000,未到转股期,87.25
10,128044,岭南转债,-1.08%,110.0,1.6,3.21,1,0.36,AA,5.334,6.594,128044,86.79
11,123019,中来转债,-0.08%,108.901,2.51,4.64,0,2.42,AA-,5.868,10.000,未到转股期,86.459
12,113521,科森转债,-0.16%,113.1,2.24,0.62,0,0.42,AA,5.592,6.100,未到转股期,86.28
13,127003,海印转债,-1.23%,107.188,0.66,6.84,2,2.11,AA,3.148,11.108,127003,85.972
14,113524,奇精转债,-0.55%,108.28,1.48,5.77,0,1.6,AA,5.668,3.300,未到转股期,85.95
15,110047,山鹰转债,0.38%,116.86,0.76,-2.18,0,0.25,AA+,5.605,23.000,未到转股期,85.32000000000001
16,128033,迪龙转债,-0.91%,109.093,1.86,5.7,1,0.24,AA,4.701,5.199,128033,85.207
17,113528,长城转债,0.20%,109.67,1.9,5.15,0,1.29,AA-,5.879,6.340,未到转股期,85.17999999999999
18,128025,特一转债,-0.09%,112.9,2.09,1.95,1,-0.51,AA-,4.644,3.394,128025,85.14999999999999
19,113526,联泰转债,-0.62%,115.42,1.28,-0.22,0,-0.67,AA,5.775,3.900,未到转股期,84.8
