,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
3,123023,迪森转债,-4.12%,100.2,-4.19,4.58,0,2.46,AA,5.896,6.000,未到转股期,95.22
27,128060,中装转债,-0.89%,100.5,-5.25,12.19,0,2.09,AA,5.912,5.250,未到转股期,87.31
0,113527,维格转债,-6.16%,101.5,-9.97,0.1,0,3.13,AA,5.742,7.460,未到转股期,98.4
28,128056,今飞转债,-1.74%,101.621,-6.48,11.28,0,3.19,A+,5.841,3.680,未到转股期,87.099
23,113514,威帝转债,-1.81%,101.97,-3.82,8.97,0,2.17,A+,4.227,1.999,191514,89.06
15,123011,德尔转债,-2.84%,102.7,-5.65,5.97,0,2.69,AA-,5.225,5.556,123011,91.33
4,128062,亚药转债,-1.12%,103.8,2.52,1.32,0,2.53,AA,5.932,9.650,未到转股期,94.88000000000001
7,128063,未来转债,-7.12%,104.0,-10.03,2.36,0,3.75,AA-,5.934,6.300,未到转股期,93.64
21,123004,铁汉转债,-3.14%,105.3,-6.31,4.78,1,1.02,AA,4.641,8.332,123004,89.92
29,123014,凯发转债,-1.50%,105.3,-3.51,7.68,0,0.94,A+,4.247,3.150,123014,87.02000000000001
19,128021,兄弟转债,-5.41%,105.378,-10.0,4.41,1,1.02,AA,4.586,5.051,128021,90.212
13,123009,星源转债,-3.74%,105.6,-1.64,2.97,0,0.92,AA,4.86,4.799,123009,91.43
12,128049,华源转债,-2.13%,105.697,-3.83,2.85,0,1.67,AA-,5.586,4.000,未到转股期,91.453
2,128057,博彦转债,-3.71%,106.4,-3.36,-3.18,0,1.76,AA-,5.855,5.758,未到转股期,96.78
1,123018,溢利转债,-2.91%,106.799,-4.21,-3.73,0,1.39,AA-,5.649,6.650,未到转股期,96.931
5,113524,奇精转债,0.82%,107.01,2.29,-1.72,0,1.83,AA,5.633,3.300,未到转股期,94.71
10,113521,科森转债,-0.26%,107.14,-1.65,0.41,0,1.42,AA,5.556,6.100,未到转股期,92.45
22,128025,特一转债,-2.11%,107.35,-3.01,3.01,1,0.6,AA-,4.608,3.394,128025,89.64
TOTAL,,,,104.34805555555556,,3.5694444444444446,,,,,,,
