,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
37,110049,海尔转债,-0.77%,118.5,-1.0,-0.31,0,-1.5,AAA,5.027,2.41,12.701,190049,81.7325
26,123019,中来转债,1.34%,112.499,4.94,4.99,0,2.08,AA-,5.219,1.81,9.999,123019,83.7585
82,110046,圆通转债,-0.62%,120.92,-0.97,6.18,0,-1.01,AA+,4.951,2.76,35.398,190046,74.445
21,113521,科森转债,-0.97%,109.61,-3.14,6.55,0,1.03,AA,4.942,2.18,6.097,191521,85.4775
34,128077,华夏转债,-0.01%,111.788,0.0,8.39,0,1.36,AA-,5.858,2.67,7.9,未到转股期,81.9195
17,113537,文灿转债,1.59%,107.28,1.86,8.64,0,2.42,AA-,5.504,1.94,8.0,未到转股期,86.24
41,128057,博彦转债,1.11%,112.837,0.66,9.0,0,0.81,AA-,5.241,1.76,5.711,128057,80.413
77,113540,南威转债,0.76%,117.6,0.93,9.8,0,0.06,AA-,5.6,2.96,6.6,未到转股期,75.05000000000001
30,113530,大丰转债,-0.14%,109.84,-1.64,9.84,0,2.04,AA,5.299,3.42,6.299,191530,82.78
61,128055,长青转2,-0.27%,114.89,0.0,9.85,0,0.1,AA,5.225,1.25,9.136,128055,77.7225
46,110056,亨通转债,0.59%,111.73,0.7,11.45,1,0.57,AA+,5.279,2.23,17.328,190056,79.6825
42,110060,天路转债,0.99%,109.27,1.16,13.83,0,0.93,AA,5.888,1.77,10.87,未到转股期,80.3575
65,113515,高能转债,0.25%,112.82,0.11,13.92,0,0.02,AA,4.633,2.02,7.092,191515,76.74000000000001
74,110047,山鹰转债,0.38%,113.41,0.92,14.78,0,0.84,AA+,4.956,1.07,22.995,190047,75.50500000000001
14,128053,尚荣转债,0.13%,102.303,-0.23,15.0,0,2.38,AA,5.189,1.31,7.498,128053,86.447
59,127013,创维转债,0.36%,110.799,2.22,15.0,0,1.26,AA,5.353,3.28,10.4,127013,77.951
86,110061,川投转债,-0.13%,114.58,-0.4,15.39,0,-0.54,AAA,5.926,1.66,40.0,未到转股期,73.8775
45,113547,索发转债,0.59%,108.01,0.0,16.29,0,1.71,AA,5.877,1.34,9.45,未到转股期,79.7725
TOTAL,,,,112.14922222222222,,10.477222222222222,,,,,,,,
