,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
132,128017,金禾转债,0.36%,105.364,1.26,36.68,0,1.04,AA,4.49,6.000,128017,57.955999999999996
133,128052,凯龙转债,2.80%,164.688,1.95,-21.59,0,-6.22,AA,5.63,3.289,未到转股期,56.902000000000015
134,128029,太阳转债,0.05%,104.25,1.86,39.06,0,1.07,AA+,3.63,11.998,128029,56.69
135,128035,大族转债,0.98%,103.102,6.09,41.29,0,1.07,AA+,4.756,22.998,128035,55.608
136,113022,浙商转债,-1.33%,103.97,2.22,41.3,0,0.98,AAA,5.852,35.000,未到转股期,54.730000000000004
137,123003,蓝思转债,0.03%,98.305,-6.68,47.32,2,2.59,AA+,4.592,47.984,123003,54.37499999999999
138,113009,广汽转债,0.30%,108.56,0.26,37.82,0,0.15,AAA,2.715,25.526,191009,53.62
139,128037,岩土转债,0.32%,95.442,0.21,59.66,0,3.57,AA,4.86,6.033,128037,44.89800000000001
140,110030,格力转债,-0.02%,104.64,4.63,52.89,0,2.04,AA,0.636,4.251,190030,42.47
141,128032,双环转债,1.01%,98.006,1.74,67.36,0,2.73,AA,4.638,9.999,128032,34.634
142,127008,特发转债,3.37%,177.7,2.13,-10.09,0,-9.89,AA,4.532,4.194,未到转股期,32.390000000000015
143,113502,嘉澳转债,0.91%,96.84,2.17,75.91,0,3.53,AA-,4.512,1.848,191502,27.25
144,128028,赣锋转债,0.92%,98.479,2.87,74.36,0,2.42,AA,4.627,9.278,128028,27.161
145,113014,林洋转债,0.05%,97.65,1.04,75.28,0,2.92,AA,4.477,30.000,191014,27.069999999999993
146,128043,东音转债,-15.10%,180.011,5.95,-4.59,1,-8.26,AA-,5.244,2.627,128043,24.579000000000004
147,128023,亚太转债,0.56%,94.001,1.43,95.96,0,4.13,AA,4.592,9.996,128023,10.039000000000001
148,127004,模塑转债,0.23%,94.72,-0.8,97.09,0,5.0,AA,4.074,8.136,127004,8.189999999999998
149,110031,航信转债,0.08%,109.5,0.13,96.8,0,0.22,AAA,2.101,23.995,190031,-6.299999999999997
150,128010,顺昌转债,0.22%,100.888,-0.22,105.77,0,3.71,AA,2.715,5.095,128010,-6.658000000000001
151,128012,辉丰转债,0.06%,97.093,2.07,116.97,0,2.92,A+,2.959,8.443,128012,-14.063000000000002
152,128013,洪涛转债,0.41%,96.653,0.3,189.64,0,4.87,AA,3.23,12.000,128013,-86.29299999999999
TOTAL,,,,108.23771241830067,,19.653986928104572,,,,,,,
