,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
0,128060,中装转债,0.44%,101.036,0.49,3.01,0,2.02,AA,5.825,5.250,未到转股期,95.954
3,113514,威帝转债,-0.13%,100.08,-0.36,7.34,0,2.69,A+,4.14,1.999,191514,92.58
6,128062,亚药转债,-2.03%,100.582,-3.43,7.79,0,3.13,AA,5.844,9.650,未到转股期,91.628
10,113528,长城转债,-0.23%,98.32,2.49,11.1,0,3.31,AA-,5.756,6.340,未到转股期,90.58000000000001
11,128056,今飞转债,-0.20%,99.797,0.16,10.02,0,3.58,A+,5.753,3.680,未到转股期,90.183
26,123023,迪森转债,0.15%,99.479,0.16,14.25,0,2.62,AA,5.808,6.000,未到转股期,86.271
27,113505,杭电转债,-0.20%,100.89,0.15,12.98,0,2.41,AA,4.767,7.767,191505,86.13
29,128050,钧达转债,-0.33%,100.188,0.16,13.73,0,4.04,AA-,5.534,3.200,未到转股期,86.082
38,113524,奇精转债,0.05%,98.98,1.23,16.89,0,3.33,AA,5.545,3.300,未到转股期,84.13
41,128033,迪龙转债,0.23%,99.36,0.53,16.91,1,2.35,AA,4.578,5.199,128033,83.73
46,127003,海印转债,0.12%,101.621,1.14,15.32,2,4.06,AA,3.025,11.108,127003,83.059
48,123019,中来转债,0.15%,100.741,3.64,16.36,0,3.9,AA-,5.745,10.000,未到转股期,82.899
50,123024,岱勒转债,-0.11%,97.8,-0.68,19.6,0,3.16,A+,4.811,2.100,未到转股期,82.6
52,128044,岭南转债,-0.58%,99.22,-0.4,18.43,1,2.42,AA,5.211,6.594,128044,82.35
53,123011,德尔转债,-0.50%,97.19,-0.53,20.57,0,3.87,AA-,5.137,5.556,123011,82.24000000000001
81,128018,时达转债,0.42%,95.719,-0.18,27.8,1,3.42,AA,4.438,8.823,128018,76.48100000000001
94,123010,博世转债,0.00%,100.601,0.4,25.25,1,2.41,AA-,5.101,4.298,123010,74.149
101,113016,小康转债,-0.25%,95.12,-3.61,33.13,1,3.57,AA,4.438,8.814,191016,71.75
TOTAL,,,,99.26244444444443,0.0755555555555556,16.137777777777778,,3.127222222222222,,,,,
