,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
28,110052,贵广转债,-1.73%,123.64,-3.13,-9.69,0,-0.66,AA+,5.868,16.000,未到转股期,86.05
15,128053,尚荣转债,-0.15%,118.189,1.61,-7.47,0,-0.43,AA,5.816,7.500,未到转股期,89.281
10,123018,溢利转债,-1.04%,114.99,-0.1,-5.47,0,0.05,AA-,5.663,6.650,未到转股期,90.48
12,113521,科森转债,-0.80%,114.16,-1.12,-3.79,0,0.25,AA,5.57,6.100,未到转股期,89.63000000000001
8,110047,山鹰转债,-0.49%,112.61,1.57,-3.31,0,0.94,AA+,5.584,23.000,未到转股期,90.7
7,113527,维格转债,-0.93%,112.16,0.41,-3.18,0,1.31,AA,5.756,7.460,未到转股期,91.02000000000001
0,128062,亚药转债,6.81%,106.81,1.14,-2.19,0,2.03,AA,5.945,9.650,未到转股期,95.38
11,128049,华源转债,-1.68%,111.3,-0.81,-1.69,0,0.71,AA-,5.6,4.000,未到转股期,90.39
14,113526,联泰转债,0.13%,111.53,2.74,-0.87,0,-0.07,AA,5.753,3.900,未到转股期,89.34
1,123023,迪森转债,-0.17%,108.2,3.2,-0.8,0,1.1,AA,5.91,6.000,未到转股期,92.6
24,128034,江银转债,-0.47%,113.1,0.38,-0.32,2,-0.67,AA+,4.762,17.591,128034,87.22
27,128025,特一转债,-0.37%,113.278,0.17,0.41,1,-0.58,AA-,4.622,3.394,128025,86.312
29,128048,张行转债,-0.40%,113.69,0.59,0.43,0,0.1,AA+,5.559,25.000,未到转股期,85.88
22,128057,博彦转债,0.18%,111.4,2.07,0.76,0,0.95,AA-,5.868,5.758,未到转股期,87.83999999999999
9,113524,奇精转债,0.71%,108.48,2.32,0.89,0,1.58,AA,5.647,3.300,未到转股期,90.63
3,113514,威帝转债,-0.30%,107.29,0.16,1.3,0,0.93,A+,4.241,1.999,191514,91.41
26,123014,凯发转债,-0.36%,111.2,0.34,2.18,0,-0.37,A+,4.26,3.150,123014,86.61999999999999
4,113532,海环转债,6.51%,106.51,0.0,2.32,0,1.06,AA,5.942,4.600,未到转股期,91.17
TOTAL,,,,112.14094444444444,,-1.693888888888889,,,,,,,
