,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
102,128054,中宠转债,0.10%,104.202,1.79,21.93,0,1.84,A+,5.803,1.942,未到转股期,73.868
103,113504,艾华转债,0.40%,105.5,0.69,20.97,1,1.04,AA,4.841,6.909,191504,73.53
104,123016,洲明转债,1.95%,131.52,1.24,-4.54,0,-2.33,AA-,5.529,5.480,未到转股期,73.02
105,128022,众信转债,-0.28%,102.85,1.86,24.17,1,1.56,AA,4.592,6.999,128022,72.98
106,128045,机电转债,1.23%,111.79,0.95,15.25,0,-0.31,AAA,5.332,20.998,128045,72.96
107,113513,安井转债,-0.58%,127.59,-1.5,-0.48,0,-2.33,AA-,5.205,4.323,191513,72.89
108,128020,水晶转债,-0.97%,103.8,5.41,23.57,1,1.63,AA,4.551,11.799,128020,72.63
109,110042,航电转债,1.44%,117.81,0.33,9.57,0,-1.53,AAA,4.655,23.950,190042,72.62
110,113015,隆基转债,1.19%,124.53,0.0,2.92,0,-2.7,AA+,4.51,27.972,191015,72.55
111,123022,长信转债,0.62%,107.5,0.18,20.33,0,1.22,AA,5.888,12.300,未到转股期,72.17
112,110034,九州转债,0.82%,104.85,-0.57,23.02,0,1.94,AA+,2.715,14.993,190034,72.13000000000001
113,128059,视源转债,0.97%,114.1,1.31,14.02,0,0.03,AA,5.868,9.420,未到转股期,71.88000000000001
114,128024,宁行转债,1.55%,127.85,0.88,0.55,0,-3.46,AAA,4.603,67.153,128024,71.60000000000001
115,113510,再升转债,0.08%,101.88,4.72,26.73,0,2.13,AA-,5.14,1.139,191510,71.39
116,123003,蓝思转债,0.66%,101.25,3.23,27.44,2,1.91,AA+,4.611,47.985,123003,71.31
117,113508,新凤转债,1.57%,102.99,2.0,25.87,0,1.87,AA,4.992,21.524,191508,71.14
118,113019,玲珑转债,1.57%,109.7,0.06,20.3,0,0.78,AA+,3.838,19.998,191019,70.0
119,113021,中信转债,1.10%,105.79,-0.79,25.3,0,2.1,AAA,5.847,400.000,未到转股期,68.91
120,113013,国君转债,0.51%,113.6,-0.48,18.67,0,-0.83,AAA,4.186,70.000,191013,67.73
121,110038,济川转债,0.59%,110.45,0.81,22.5,0,-0.43,AA,3.54,6.308,190038,67.05
122,128046,利尔转债,2.12%,105.801,4.03,27.26,0,1.28,AA,5.471,8.520,128046,66.939
123,128016,雨虹转债,1.73%,108.5,3.32,25.22,0,0.38,AA+,4.408,18.395,128016,66.28
124,128030,天康转债,3.59%,130.0,4.55,4.7,0,-3.06,AA,4.649,6.594,128030,65.3
125,128014,永东转债,1.00%,98.685,1.04,38.08,0,3.37,AA-,3.967,3.371,128014,63.235
126,128029,太阳转债,1.43%,106.6,1.99,30.27,0,0.44,AA+,3.649,11.998,128029,63.13000000000001
127,128017,金禾转债,1.96%,107.88,1.16,29.62,0,0.5,AA,4.51,6.000,128017,62.5
128,128026,众兴转债,0.43%,94.99,0.79,43.77,0,3.48,AA-,4.625,9.197,128026,61.24
129,110045,海澜转债,0.13%,101.18,2.37,38.32,0,1.99,AA+,5.208,29.994,190045,60.49999999999999
130,113018,常熟转债,2.02%,141.34,1.62,-0.23,1,-5.31,AA+,4.726,6.777,191018,58.88999999999999
131,113009,广汽转债,0.37%,111.27,-1.03,31.31,0,-0.76,AAA,2.734,25.526,191009,57.42
132,113022,浙商转债,-0.58%,108.1,0.5,35.18,0,0.3,AAA,5.871,35.000,未到转股期,56.720000000000006
133,123006,东财转债,-1.66%,143.822,-1.44,-0.32,0,-5.58,AA,4.644,7.316,123006,56.498
134,128035,大族转债,0.30%,104.1,3.99,39.77,0,0.86,AA+,4.775,22.998,128035,56.13
135,110044,广电转债,-5.57%,150.45,-9.99,-0.52,0,-5.45,AA,5.164,1.232,190044,50.070000000000014
136,128037,岩土转债,0.47%,95.25,1.65,55.16,0,3.6,AA,4.879,6.033,128037,49.59
137,110030,格力转债,0.01%,105.58,1.62,45.67,0,0.61,AA,0.655,4.251,190030,48.75
138,128036,金农转债,11.76%,151.999,7.29,-0.66,0,-6.38,AA-,4.863,2.071,128036,48.661
139,128032,双环转债,-0.61%,97.7,0.16,55.67,0,2.79,AA,4.658,9.999,128032,46.629999999999995
140,128041,盛路转债,1.69%,160.4,1.56,-0.4,0,-6.22,AA,5.216,1.018,128041,39.99999999999999
141,128052,凯龙转债,0.00%,181.0,1.92,-20.91,0,-7.78,AA,5.649,3.289,未到转股期,39.91
142,113014,林洋转债,0.15%,99.15,1.53,63.26,0,2.55,AA,4.496,30.000,191014,37.589999999999996
