,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
4,128053,尚荣转债,0.24%,113.77,1.51,-7.41,0,0.23,AA,5.8,7.500,未到转股期,93.64
18,128055,长青转2,0.65%,116.35,2.03,-5.58,0,-0.13,AA,5.836,9.138,未到转股期,89.23
0,128062,亚药转债,2.14%,106.021,8.98,-5.05,0,2.16,AA,5.929,9.650,未到转股期,99.029
9,113526,联泰转债,2.16%,111.6,4.92,-3.86,0,-0.08,AA,5.737,3.900,未到转股期,92.26
2,123018,溢利转债,0.24%,107.05,-0.21,-3.3,0,1.35,AA-,5.647,6.650,未到转股期,96.25
11,123020,富祥转债,-0.22%,111.3,1.12,-3.18,0,1.49,AA-,5.841,4.200,未到转股期,91.88000000000001
1,128057,博彦转债,-0.25%,106.137,-0.51,-2.92,0,1.8,AA-,5.852,5.758,未到转股期,96.783
27,113523,伟明转债,0.79%,114.36,-2.36,-1.53,0,0.15,AA,5.619,6.700,未到转股期,87.17
15,123013,横河转债,2.91%,110.702,2.68,-1.05,0,1.0,A+,5.244,0.385,123013,90.348
10,113521,科森转债,0.93%,108.14,1.57,-0.22,0,1.25,AA,5.553,6.100,未到转股期,92.08
3,113524,奇精转债,-1.78%,105.11,-3.3,-0.16,0,2.16,AA,5.63,3.300,未到转股期,95.05
6,128049,华源转债,1.13%,106.888,3.47,0.52,0,1.46,AA-,5.584,4.000,未到转股期,92.592
16,127007,湖广转债,1.03%,109.1,0.82,0.82,1,0.8,AA+,5.167,13.278,127007,90.08000000000001
20,128039,三力转债,-0.49%,109.46,0.96,1.79,1,0.21,AA-,5.11,3.932,128039,88.75
29,128034,江银转债,1.11%,111.01,0.59,2.27,2,-0.27,AA+,4.745,17.583,128034,86.72
21,128025,特一转债,1.52%,108.986,2.24,2.3,1,0.27,AA-,4.605,3.394,128025,88.714
25,110047,山鹰转债,1.56%,110.04,0.84,2.37,0,1.37,AA+,5.567,23.000,未到转股期,87.58999999999999
8,123004,铁汉转债,-0.38%,104.9,1.75,2.58,1,1.11,AA,4.638,8.332,123004,92.52
TOTAL,,,,109.49577777777777,,-1.2005555555555556,,,,,,,
