,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
25,113016,小康转债,-1.25%,105.99,-2.3,10.22,1,1.0,AA,4.545,8.814,191016,83.79
0,128060,中装转债,0.36%,106.2,2.04,2.11,0,1.12,AA,5.932,5.250,未到转股期,91.69
1,128050,钧达转债,-0.03%,107.463,3.03,4.06,0,2.64,AA-,5.641,3.200,未到转股期,88.477
16,128033,迪龙转债,-1.26%,107.622,-0.66,6.79,1,0.54,AA,4.685,5.199,128033,85.588
26,113017,吉视转债,-0.32%,107.95,0.68,8.32,0,0.47,AA+,4.685,15.592,191017,83.72999999999999
17,123024,岱勒转债,-0.43%,108.311,-4.04,6.18,0,0.95,A+,4.918,2.100,未到转股期,85.50899999999999
4,123019,中来转债,-0.90%,108.621,-0.14,3.74,0,2.47,AA-,5.852,10.000,未到转股期,87.63900000000001
13,128044,岭南转债,-1.36%,109.001,-2.41,5.02,1,0.54,AA,5.318,6.594,128044,85.979
7,113528,长城转债,-0.34%,109.05,2.0,3.44,0,1.4,AA-,5.863,6.340,未到转股期,87.51
6,113524,奇精转债,-1.12%,109.07,-1.27,3.33,0,1.48,AA,5.652,3.300,未到转股期,87.60000000000001
2,123023,迪森转债,-0.43%,110.0,-1.6,1.99,0,0.81,AA,5.915,6.000,未到转股期,88.01
8,113514,威帝转债,-1.04%,110.11,-0.63,2.49,0,0.3,A+,4.247,1.999,191514,87.4
11,128056,今飞转债,-0.63%,110.55,-3.83,3.12,0,1.68,A+,5.86,3.680,未到转股期,86.33
15,123011,德尔转债,-0.71%,112.0,0.03,2.24,0,0.96,AA-,5.244,5.556,123011,85.76
19,113505,杭电转债,-1.33%,112.58,-3.37,2.21,0,0.04,AA,4.874,7.799,191505,85.21000000000001
12,128057,博彦转债,-1.37%,112.793,-2.55,1.2,0,0.73,AA-,5.874,5.758,未到转股期,86.00699999999999
27,123004,铁汉转债,-1.45%,113.8,-2.85,2.49,1,-0.68,AA,4.66,8.348,123004,83.71000000000001
21,113526,联泰转债,-0.40%,113.82,-1.92,1.45,0,-0.43,AA,5.759,3.900,未到转股期,84.73
TOTAL,,,,109.71838888888888,,3.9111111111111114,,,,,,,
