,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
0,128060,中装转债,0.36%,106.2,2.04,2.11,0,1.12,AA,5.932,5.250,未到转股期,91.69
1,128050,钧达转债,-0.03%,107.463,3.03,4.06,0,2.64,AA-,5.641,3.200,未到转股期,88.477
2,123023,迪森转债,-0.43%,110.0,-1.6,1.99,0,0.81,AA,5.915,6.000,未到转股期,88.01
4,123019,中来转债,-0.90%,108.621,-0.14,3.74,0,2.47,AA-,5.852,10.000,未到转股期,87.63900000000001
6,113524,奇精转债,-1.12%,109.07,-1.27,3.33,0,1.48,AA,5.652,3.300,未到转股期,87.60000000000001
7,113528,长城转债,-0.34%,109.05,2.0,3.44,0,1.4,AA-,5.863,6.340,未到转股期,87.51
8,113514,威帝转债,-1.04%,110.11,-0.63,2.49,0,0.3,A+,4.247,1.999,191514,87.4
11,128056,今飞转债,-0.63%,110.55,-3.83,3.12,0,1.68,A+,5.86,3.680,未到转股期,86.33
15,123011,德尔转债,-0.71%,112.0,0.03,2.24,0,0.96,AA-,5.244,5.556,123011,85.76
16,128033,迪龙转债,-1.26%,107.622,-0.66,6.79,1,0.54,AA,4.685,5.199,128033,85.588
17,123024,岱勒转债,-0.43%,108.311,-4.04,6.18,0,0.95,A+,4.918,2.100,未到转股期,85.50899999999999
19,113505,杭电转债,-1.33%,112.58,-3.37,2.21,0,0.04,AA,4.874,7.799,191505,85.21000000000001
25,113016,小康转债,-1.25%,105.99,-2.3,10.22,1,1.0,AA,4.545,8.814,191016,83.79
30,128018,时达转债,-0.88%,105.07,-1.82,11.35,1,1.2,AA,4.545,8.823,128018,83.58000000000001
32,123010,博世转债,-1.01%,107.53,-1.29,9.74,1,1.03,AA-,5.208,4.298,123010,82.73
33,128043,东音转债,0.00%,114.09,0.0,3.42,1,0.24,AA-,5.285,2.714,128043,82.49
39,127003,海印转债,0.77%,109.429,-1.62,9.43,2,1.43,AA,3.132,11.108,127003,81.14099999999999
143,128040,华通转债,38.46%,157.699,10.03,29.62,0,-6.34,AA-,5.148,2.238,128040,12.680999999999987
TOTAL,,,,111.74361111111112,-0.3022222222222224,6.415555555555557,,0.7194444444444444,,,,,
